municipality,year,treat,newcomers,rents,popu,year_2013,year_2016,year_2018
adachi,2008,0,28533,281500,484,,,
adachi,2009,0,31389,275200,528,,,
adachi,2010,0,27831,263500,459,,,
adachi,2011,0,27978,262100,447,,,
adachi,2012,0,27850,262800,423,,,
adachi,2013,0,27124,254800,436,,,
adachi,2014,0,28002,,500,,,
adachi,2015,0,29980,,475,,,
adachi,2016,0,28195,264300,364,,,
adachi,2017,0,30623,,368,,,
adachi,2018,0,31040,283600,350,,,
adachi,2019,0,,,496,,,
adachi,2020,0,,,688,,,
adachi,2021,0,,,667,,,
arakawa,2008,0,12432,466000,213,,,
arakawa,2009,0,12632,435000,186,,,
arakawa,2010,0,12106,408000,674,,,
arakawa,2011,0,11738,491700,481,,,
arakawa,2012,0,11788,486000,338,,,
arakawa,2013,0,11460,369400,331,,,
arakawa,2014,0,11367,,312,,,
arakawa,2015,0,12513,,286,,,
arakawa,2016,0,11571,385800,257,,,
arakawa,2017,0,12061,,226,,,
arakawa,2018,0,12403,429600,191,,,
arakawa,2019,0,,,170,,,
arakawa,2020,0,,,170,,,
arakawa,2021,0,,,166,,,
bunkyo,2008,0,15747,840900,909,,,
bunkyo,2009,0,15740,760700,715,,,
bunkyo,2010,0,16761,695800,677,,,
bunkyo,2011,0,16736,672400,685,,,
bunkyo,2012,0,16560,667700,623,,,
bunkyo,2013,0,17586,712600,613,,,
bunkyo,2014,0,17088,,644,,,
bunkyo,2015,0,17180,,629,,,
bunkyo,2016,0,17011,788800,706,,,
bunkyo,2017,0,16980,,776,,,
bunkyo,2018,0,17589,867500,711,,,
bunkyo,2019,0,,,790,,,
bunkyo,2020,0,,,561,,,
bunkyo,2021,0,,,532,,,
chiyoda,2008,1,5434,2123000,972,,,
chiyoda,2009,1,6046,2041000,933,,,
chiyoda,2010,1,5676,1860000,1015,,,
chiyoda,2011,1,5757,1930000,913,,,
chiyoda,2012,1,6103,1908600,848,,,
chiyoda,2013,1,7072,1908600,897,,,
chiyoda,2014,1,7406,,942,,,
chiyoda,2015,1,6722,,994,,,
chiyoda,2016,1,6383,2358600,1134,,,
chiyoda,2017,1,6764,,986,,,
chiyoda,2018,1,7493,2618600,934,,,
chiyoda,2019,1,,,1016,,,
chiyoda,2020,1,,,632,,,
chiyoda,2021,1,,,591,,,
chohu,2008,1,15452,352000,70,,,
chohu,2009,1,14991,326200,100,,,
chohu,2010,1,13981,308700,0,,,
chohu,2011,1,14218,306300,94,,,
chohu,2012,1,14433,304200,0,,,
chohu,2013,1,13781,305900,0,,,
chohu,2014,1,13233,,44,,,
chohu,2015,1,15055,,37,,,
chohu,2016,1,15055,318800,129,,,
chohu,2017,1,14390,,53,,,
chohu,2018,1,14469,325900,83,,,
chohu,2019,1,,,47,,,
chohu,2020,1,,,0,,,
chohu,2021,1,,,48,,,
chuo,2008,1,15187,922800,196,,,
chuo,2009,1,13889,871100,144,,,
chuo,2010,1,12992,764400,234,,,
chuo,2011,1,13845,809600,197,,,
chuo,2012,1,13269,803300,375,,,
chuo,2013,1,14186,857000,320,,,
chuo,2014,1,15173,,404,,,
chuo,2015,1,14973,,467,,,
chuo,2016,1,15946,1108700,523,,,
chuo,2017,1,16853,,501,,,
chuo,2018,1,15374,1195700,565,,,
chuo,2019,1,,,459,,,
chuo,2020,1,,,344,,,
chuo,2021,1,,,239,,,
edogawa,2008,1,33660,347300,0,,,
edogawa,2009,1,33044,329700,66,,,
edogawa,2010,1,32975,307600,0,,,
edogawa,2011,1,30291,305100,37,,,
edogawa,2012,1,29592,301300,14,,,
edogawa,2013,1,31162,300200,48,,,
edogawa,2014,1,31953,,37,,,
edogawa,2015,1,33333,,36,,,
edogawa,2016,1,32199,311900,0,,,
edogawa,2017,1,32270,,29,,,
edogawa,2018,1,31131,332000,0,,,
edogawa,2019,1,,,174,,,
edogawa,2020,1,,,138,,,
edogawa,2021,1,,,141,,,
funabashi,2008,0,31744,158900,0,,,
funabashi,2009,0,32845,151100,100,,,
funabashi,2010,0,30214,143700,0,,,
funabashi,2011,0,27356,142200,0,,,
funabashi,2012,0,27751,140200,57,,,
funabashi,2013,0,28945,136600,0,,,
funabashi,2014,0,26970,,100,,,
funabashi,2015,0,28154,,0,,,
funabashi,2016,0,27714,141900,0,,,
funabashi,2017,0,28575,,131,,,
funabashi,2018,0,28680,145300,0,,,
funabashi,2019,0,,,0,,,
funabashi,2020,0,,,157,,,
funabashi,2021,0,,,103,,,
ichikawa,2008,0,29658,244300,100,,,
ichikawa,2009,0,29254,230600,161,,,
ichikawa,2010,0,26917,208300,56,,,
ichikawa,2011,0,25058,208100,95,,,
ichikawa,2012,0,24792,202900,82,,,
ichikawa,2013,0,26043,197500,109,,,
ichikawa,2014,0,27047,,52,,,
ichikawa,2015,0,27463,,0,,,
ichikawa,2016,0,26871,204400,206,,,
ichikawa,2017,0,26796,,0,,,
ichikawa,2018,0,26481,207900,76,,,
ichikawa,2019,0,,,48,,,
ichikawa,2020,0,,,133,,,
ichikawa,2021,0,,,136,,,
itabashi,2008,0,31443,411100,100,,,
itabashi,2009,0,30965,384500,0,,,
itabashi,2010,0,29358,359700,190,,,
itabashi,2011,0,30024,357200,70,,,
itabashi,2012,0,31412,352700,0,,,
itabashi,2013,0,30931,347700,100,,,
itabashi,2014,0,30955,,0,,,
itabashi,2015,0,33063,,146,,,
itabashi,2016,0,32655,364500,52,,,
itabashi,2017,0,32113,,0,,,
itabashi,2018,0,33200,391800,53,,,
itabashi,2019,0,,,41,,,
itabashi,2020,0,,,151,,,
itabashi,2021,0,,,0,,,
katsushika,2008,0,19815,302800,68,,,
katsushika,2009,0,20560,289200,164,,,
katsushika,2010,0,21745,278000,54,,,
katsushika,2011,0,18859,275500,94,,,
katsushika,2012,0,18730,273600,0,,,
katsushika,2013,0,19765,276700,100,,,
katsushika,2014,0,18854,,0,,,
katsushika,2015,0,20922,,0,,,
katsushika,2016,0,20672,286900,55,,,
katsushika,2017,0,21138,,0,,,
katsushika,2018,0,21315,301300,0,,,
katsushika,2019,0,,,0,,,
katsushika,2020,0,,,0,,,
katsushika,2021,0,,,55,,,
kawaguchi,2008,0,22844,196800,178,,,
kawaguchi,2009,0,22760,190600,100,,,
kawaguchi,2010,0,21266,181700,0,,,
kawaguchi,2011,0,23158,180500,72,,,
kawaguchi,2012,0,22756,177800,0,,,
kawaguchi,2013,0,22671,189200,0,,,
kawaguchi,2014,0,22766,,171,,,
kawaguchi,2015,0,22126,,97,,,
kawaguchi,2016,0,21309,191700,130,,,
kawaguchi,2017,0,22935,,57,,,
kawaguchi,2018,0,22990,195300,115,,,
kawaguchi,2019,0,,,205,,,
kawaguchi,2020,0,,,40,,,
kawaguchi,2021,0,,,182,,,
kawasaki,2008,0,97096,,709,,,
kawasaki,2009,0,96392,,575,,,
kawasaki,2010,0,90926,,491,,,
kawasaki,2011,0,86719,,531,,,
kawasaki,2012,0,90385,,455,,,
kawasaki,2013,0,90385,,845,,,
kawasaki,2014,0,87397,,796,,,
kawasaki,2015,0,93417,,804,,,
kawasaki,2016,0,90278,,725,,,
kawasaki,2017,0,91753,,996,,,
kawasaki,2018,0,90857,,684,,,
kawasaki,2019,0,,,711,,,
kawasaki,2020,0,,,680,,,
kawasaki,2021,0,,,684,,,
kita,2008,0,20538,400900,89,,,
kita,2009,0,19382,387300,100,,,
kita,2010,0,19383,369800,0,,,
kita,2011,0,19650,390100,0,,,
kita,2012,0,21318,387900,0,,,
kita,2013,0,21197,381700,100,,,
kita,2014,0,21502,,0,,,
kita,2015,0,21676,,0,,,
kita,2016,0,21897,406600,77,,,
kita,2017,0,22055,,0,,,
kita,2018,0,23296,458700,0,,,
kita,2019,0,,,72,,,
kita,2020,0,,,0,,,
kita,2021,0,,,0,,,
komae,2008,0,4805,338500,0,,,
komae,2009,0,5017,,0,,,
komae,2010,0,4622,,0,,,
komae,2011,0,4591,,0,,,
komae,2012,0,4850,,0,,,
komae,2013,0,5397,,0,,,
komae,2014,0,5434,,0,,,
komae,2015,0,5297,,0,,,
komae,2016,0,4993,293900,0,,,
komae,2017,0,5319,,100,,,
komae,2018,0,4864,,149,,,
komae,2019,0,,,0,,,
komae,2020,0,,,0,,,
komae,2021,0,,,0,,,
koto,2008,1,29620,390200,191,,,
koto,2009,1,31565,372900,66,,,
koto,2010,1,27383,357100,111,,,
koto,2011,1,28006,353400,145,,,
