municipality,year,newcomers
adachi,2008,28533.0
adachi,2009,31389.0
adachi,2010,27831.0
adachi,2011,27978.0
adachi,2012,27850.0
adachi,2013,27124.0
adachi,2016,28195.0
adachi,2018,31040.0
arakawa,2008,12432.0
arakawa,2009,12632.0
arakawa,2010,12106.0
arakawa,2011,11738.0
arakawa,2012,11788.0
arakawa,2013,11460.0
arakawa,2016,11571.0
arakawa,2018,12403.0
bunkyo,2008,15747.0
bunkyo,2009,15740.0
bunkyo,2010,16761.0
bunkyo,2011,16736.0
bunkyo,2012,16560.0
bunkyo,2013,17586.0
bunkyo,2016,17011.0
bunkyo,2018,17589.0
chiyoda,2008,5434.0
chiyoda,2009,6046.0
chiyoda,2010,5676.0
chiyoda,2011,5757.0
chiyoda,2012,6103.0
chiyoda,2013,7072.0
chiyoda,2016,6383.0
chiyoda,2018,7493.0
chohu,2008,15452.0
chohu,2009,14991.0
chohu,2010,13981.0
chohu,2011,14218.0
chohu,2012,14433.0
chohu,2013,13781.0
chohu,2016,15055.0
chohu,2018,14469.0
chuo,2008,15187.0
chuo,2009,13889.0
chuo,2010,12992.0
chuo,2011,13845.0
chuo,2012,13269.0
chuo,2013,14186.0
chuo,2016,15946.0
chuo,2018,15374.0
edogawa,2008,33660.0
edogawa,2009,33044.0
edogawa,2010,32975.0
edogawa,2011,30291.0
edogawa,2012,29592.0
edogawa,2013,31162.0
edogawa,2016,32199.0
edogawa,2018,31131.0
funabashi,2008,31744.0
funabashi,2009,32845.0
funabashi,2010,30214.0
funabashi,2011,27356.0
funabashi,2012,27751.0
funabashi,2013,28945.0
funabashi,2016,27714.0
funabashi,2018,28680.0
ichikawa,2008,29658.0
ichikawa,2009,29254.0
ichikawa,2010,26917.0
ichikawa,2011,25058.0
ichikawa,2012,24792.0
ichikawa,2013,26043.0
ichikawa,2016,26871.0
ichikawa,2018,26481.0
itabashi,2008,31443.0
itabashi,2009,30965.0
itabashi,2010,29358.0
itabashi,2011,30024.0
itabashi,2012,31412.0
itabashi,2013,30931.0
itabashi,2016,32655.0
itabashi,2018,33200.0
katsushika,2008,19815.0
katsushika,2009,20560.0
katsushika,2010,21745.0
katsushika,2011,18859.0
katsushika,2012,18730.0
katsushika,2013,19765.0
katsushika,2016,20672.0
katsushika,2018,21315.0
kawaguchi,2008,22844.0
kawaguchi,2009,22760.0
kawaguchi,2010,21266.0
kawaguchi,2011,23158.0
kawaguchi,2012,22756.0
kawaguchi,2013,22671.0
kawaguchi,2016,21309.0
kawaguchi,2018,22990.0
kita,2008,20538.0
kita,2009,19382.0
kita,2010,19383.0
kita,2011,19650.0
kita,2012,21318.0
kita,2013,21197.0
kita,2016,21897.0
kita,2018,23296.0
komae,2008,4805.0
komae,2016,4993.0
koto,2008,29620.0
koto,2009,31565.0
koto,2010,27383.0
koto,2011,28006.0
koto,2012,28344.0
koto,2013,30263.0
koto,2016,28062.0
koto,2018,29083.0
matsudo,2008,23904.0
matsudo,2009,22906.0
matsudo,2010,21480.0
matsudo,2011,19447.0
matsudo,2012,18754.0
matsudo,2013,18859.0
matsudo,2016,20011.0
matsudo,2018,20801.0
meguro,2008,20425.0
meguro,2009,21491.0
meguro,2010,21891.0
meguro,2011,22255.0
meguro,2012,23986.0
meguro,2013,23717.0
meguro,2016,22220.0
meguro,2018,22491.0
minato,2008,20465.0
minato,2009,20072.0
minato,2010,20813.0
minato,2011,20579.0
minato,2012,21295.0
minato,2013,21781.0
minato,2016,21052.0
minato,2018,20132.0
misato,2008,4861.0
misato,2009,5227.0
misato,2010,5516.0
misato,2011,5293.0
misato,2012,5661.0
misato,2013,5810.0
misato,2016,5902.0
misato,2018,6468.0
mitaka,2008,11515.0
mitaka,2009,12502.0
mitaka,2010,11197.0
mitaka,2011,11430.0
mitaka,2012,11836.0
mitaka,2013,11557.0
mitaka,2016,12483.0
mitaka,2018,11033.0
musashino,2008,9645.0
musashino,2009,10400.0
musashino,2010,10510.0
musashino,2011,9794.0
musashino,2012,10750.0
musashino,2013,11100.0
musashino,2016,9874.0
musashino,2018,10345.0
nakano,2008,24864.0
nakano,2009,25637.0
nakano,2010,25769.0
nakano,2011,26372.0
nakano,2012,27323.0
nakano,2013,27222.0
nakano,2016,26519.0
nakano,2018,26432.0
narashino,2008,9051.0
narashino,2009,8878.0
narashino,2010,9196.0
narashino,2011,8591.0
narashino,2012,7900.0
narashino,2013,9579.0
narashino,2016,9998.0
narashino,2018,8337.0
nerima,2008,40575.0
nerima,2009,41213.0
nerima,2010,39565.0
nerima,2011,39856.0
nerima,2012,40014.0
nerima,2013,39207.0
nerima,2016,40088.0
nerima,2018,40939.0
ota,2008,39092.0
ota,2009,38874.0
ota,2010,37039.0
ota,2011,37809.0
ota,2012,39132.0
ota,2013,40770.0
ota,2016,41320.0
ota,2018,43444.0
setagaya,2008,55695.0
setagaya,2009,56252.0
setagaya,2010,57278.0
setagaya,2011,57707.0
setagaya,2012,57794.0
setagaya,2013,58826.0
setagaya,2016,57908.0
setagaya,2018,57683.0
shibuya,2008,18507.0
shibuya,2009,19661.0
shibuya,2010,19652.0
shibuya,2011,20709.0
shibuya,2012,20881.0
shibuya,2013,21329.0
shibuya,2016,19564.0
shibuya,2018,19255.0
shinagawa,2008,25783.0
shinagawa,2009,26844.0
shinagawa,2010,26717.0
shinagawa,2011,26185.0
shinagawa,2012,26951.0
shinagawa,2013,26849.0
shinagawa,2016,27386.0
shinagawa,2018,30021.0
shinjuku,2008,27788.0
shinjuku,2009,27827.0
shinjuku,2010,28256.0
shinjuku,2011,28056.0
shinjuku,2012,29217.0
shinjuku,2013,29214.0
shinjuku,2016,27701.0
shinjuku,2018,29035.0
soka,2008,11150.0
soka,2009,10597.0
soka,2010,10425.0
soka,2011,10680.0
soka,2012,9669.0
soka,2013,9598.0
soka,2016,9747.0
soka,2018,10097.0
suginami,2008,39785.0
suginami,2009,39192.0
suginami,2010,38649.0
suginami,2011,38642.0
suginami,2012,39496.0
suginami,2013,40017.0
suginami,2016,39414.0
suginami,2018,39097.0
sumida,2008,15014.0
sumida,2009,16086.0
sumida,2010,15722.0
sumida,2011,14870.0
sumida,2012,16598.0
sumida,2013,17169.0
sumida,2016,17983.0
sumida,2018,18787.0
taito,2008,12456.0
taito,2009,12981.0
taito,2010,13305.0
taito,2011,13235.0
taito,2012,14758.0
taito,2013,14051.0
taito,2016,14224.0
taito,2018,15728.0
toda,2008,7984.0
toda,2009,7725.0
toda,2010,8612.0
toda,2011,8296.0
toda,2012,8519.0
toda,2013,8017.0
toda,2016,7790.0
toda,2018,7231.0
toshima,2008,21057.0
toshima,2009,21724.0
toshima,2010,22089.0
toshima,2011,23425.0
toshima,2012,22670.0
toshima,2013,22723.0
toshima,2016,21776.0
toshima,2018,21903.0
urayasu,2008,12333.0
urayasu,2009,10859.0
urayasu,2010,10236.0
urayasu,2011,9090.0
urayasu,2012,8410.0
urayasu,2013,9293.0
urayasu,2016,9947.0
wako,2008,6958.0
wako,2009,6970.0
wako,2010,6350.0
wako,2011,6499.0
wako,2012,6346.0
wako,2013,6568.0
wako,2016,6595.0
wako,2018,6876.0
yashio,2008,4253.0
yashio,2009,3871.0
yashio,2010,3409.0
yashio,2011,3865.0
yashio,2012,3878.0
yashio,2013,3810.0
yashio,2016,4307.0
yashio,2018,5452.0
