municipality,year,treat,newcomers,rents,popu,rents_per_capita
adachi,2010,0,27831,263500,459,574.0741
adachi,2011,0,27978,262100,447,586.35345
adachi,2012,0,27850,262800,423,621.27661
adachi,2013,0,27124,254800,436,584.40369
adachi,2016,0,28195,264300,364,726.09888
adachi,2018,0,31040,283600,350,810.28571
arakawa,2010,0,12106,408000,674,605.34125
arakawa,2011,0,11738,491700,481,1022.2453
arakawa,2012,0,11788,486000,338,1437.8699
arakawa,2013,0,11460,369400,331,1116.0121
arakawa,2016,0,11571,385800,257,1501.1674
arakawa,2018,0,12403,429600,191,2249.2146
bunkyo,2010,0,16761,695800,677,1027.7695
bunkyo,2011,0,16736,672400,685,981.60583
bunkyo,2012,0,16560,667700,623,1071.7496
bunkyo,2013,0,17586,712600,613,1162.4796
bunkyo,2016,0,17011,788800,706,1117.2804
bunkyo,2018,0,17589,867500,711,1220.1125
chiyoda,2010,1,5676,1860000,1015,1832.5123
chiyoda,2011,1,5757,1930000,913,2113.9102
chiyoda,2012,1,6103,1908600,848,2250.7075
chiyoda,2013,1,7072,1908600,897,2127.7593
chiyoda,2016,1,6383,2358600,1134,2079.8943
chiyoda,2018,1,7493,2618600,934,2803.6401
chohu,2010,1,13981,308700,,
chohu,2011,1,14218,306300,94,3258.5107
chohu,2012,1,14433,304200,,
chohu,2013,1,13781,305900,,
chohu,2016,1,15055,318800,129,2471.3179
chohu,2018,1,14469,325900,83,3926.5061
chuo,2010,1,12992,764400,234,3266.6667
chuo,2011,1,13845,809600,197,4109.6445
chuo,2012,1,13269,803300,375,2142.1333
chuo,2013,1,14186,857000,320,2678.125
chuo,2016,1,15946,1108700,523,2119.8853
chuo,2018,1,15374,1195700,565,2116.2832
edogawa,2010,1,32975,307600,,
edogawa,2011,1,30291,305100,37,8245.9463
edogawa,2012,1,29592,301300,14,21521.428
edogawa,2013,1,31162,300200,48,6254.1665
edogawa,2016,1,32199,311900,,
edogawa,2018,1,31131,332000,,
funabashi,2010,0,30214,143700,,
funabashi,2011,0,27356,142200,,
funabashi,2012,0,27751,140200,57,2459.6492
funabashi,2013,0,28945,136600,,
funabashi,2016,0,27714,141900,,
funabashi,2018,0,28680,145300,,
ichikawa,2010,0,26917,208300,56,3719.6428
ichikawa,2011,0,25058,208100,95,2190.5264
ichikawa,2012,0,24792,202900,82,2474.3901
ichikawa,2013,0,26043,197500,109,1811.9266
ichikawa,2016,0,26871,204400,206,992.23303
ichikawa,2018,0,26481,207900,76,2735.5264
itabashi,2010,0,29358,359700,190,1893.1578
itabashi,2011,0,30024,357200,70,5102.8569
itabashi,2012,0,31412,352700,,
itabashi,2013,0,30931,347700,100,3477
itabashi,2016,0,32655,364500,52,7009.6152
itabashi,2018,0,33200,391800,53,7392.4526
katsushika,2010,0,21745,278000,54,5148.1479
katsushika,2011,0,18859,275500,94,2930.8511
katsushika,2012,0,18730,273600,,
katsushika,2013,0,19765,276700,100,2767
katsushika,2016,0,20672,286900,55,5216.3638
katsushika,2018,0,21315,301300,,
kawaguchi,2010,0,21266,181700,,
kawaguchi,2011,0,23158,180500,72,2506.9443
kawaguchi,2012,0,22756,177800,,
kawaguchi,2013,0,22671,189200,,
kawaguchi,2016,0,21309,191700,130,1474.6154
kawaguchi,2018,0,22990,195300,115,1698.2609
kita,2010,0,19383,369800,,
kita,2011,0,19650,390100,,
kita,2012,0,21318,387900,,
kita,2013,0,21197,381700,100,3817
kita,2016,0,21897,406600,77,5280.5195
kita,2018,0,23296,458700,,
komae,2016,0,4993,293900,,
koto,2010,1,27383,357100,111,3217.1172
koto,2011,1,28006,353400,145,2437.2415
koto,2012,1,28344,348000,552,630.43475
koto,2013,1,30263,372900,423,881.5603
koto,2016,1,28062,400900,429,934.49884
koto,2018,1,29083,430700,391,1101.5345
matsudo,2010,0,21480,139800,,
matsudo,2011,0,19447,142200,100,1422
matsudo,2012,0,18754,132800,31,4283.8711
matsudo,2013,0,18859,128900,,
matsudo,2016,0,20011,132000,,
matsudo,2018,0,20801,133600,149,896.64429
meguro,2010,0,21891,698700,51,13700
meguro,2011,0,22255,696700,37,18829.73
meguro,2012,0,23986,689300,70,9847.1426
meguro,2013,0,23717,714900,94,7605.3193
meguro,2016,0,22220,811000,57,14228.07
meguro,2018,0,22491,876100,,
minato,2010,1,20813,1308200,165,7928.4849
minato,2011,1,20579,1282500,140,9160.7139
minato,2012,1,21295,1269800,96,13227.083
minato,2013,1,21781,1259100,225,5596
minato,2016,1,21052,1508900,211,7151.1851
minato,2018,1,20132,1781100,232,7677.1553
misato,2010,0,5516,122600,,
misato,2011,0,5293,118800,,
misato,2012,0,5661,114900,,
misato,2013,0,5810,109400,,
misato,2016,0,5902,109100,128,852.34375
misato,2018,0,6468,112900,,
mitaka,2010,0,11197,351800,,
mitaka,2011,0,11430,349000,44,7931.8184
mitaka,2012,0,11836,349200,,
mitaka,2013,0,11557,349900,100,3499
mitaka,2016,0,12483,373500,,
mitaka,2018,0,11033,394100,109,3615.5964
musashino,2010,0,10510,451600,99,4561.6162
musashino,2011,0,9794,455700,,
musashino,2012,0,10750,455300,,
musashino,2013,0,11100,455400,,
musashino,2016,0,9874,499500,42,11892.857
