municipality,year,treat,newcomers,rents,popu
adachi,2008,0,28533.0,281500.0,484
adachi,2009,0,31389.0,275200.0,528
adachi,2010,0,27831.0,263500.0,459
adachi,2011,0,27978.0,262100.0,447
adachi,2012,0,27850.0,262800.0,423
adachi,2013,0,27124.0,254800.0,436
adachi,2016,0,28195.0,264300.0,364
adachi,2018,0,31040.0,283600.0,350
arakawa,2008,0,12432.0,466000.0,213
arakawa,2009,0,12632.0,435000.0,186
arakawa,2010,0,12106.0,408000.0,674
arakawa,2011,0,11738.0,491700.0,481
arakawa,2012,0,11788.0,486000.0,338
arakawa,2013,0,11460.0,369400.0,331
arakawa,2016,0,11571.0,385800.0,257
arakawa,2018,0,12403.0,429600.0,191
bunkyo,2008,0,15747.0,840900.0,909
bunkyo,2009,0,15740.0,760700.0,715
bunkyo,2010,0,16761.0,695800.0,677
bunkyo,2011,0,16736.0,672400.0,685
bunkyo,2012,0,16560.0,667700.0,623
bunkyo,2013,0,17586.0,712600.0,613
bunkyo,2016,0,17011.0,788800.0,706
bunkyo,2018,0,17589.0,867500.0,711
chiyoda,2008,1,5434.0,2123000.0,972
chiyoda,2009,1,6046.0,2041000.0,933
chiyoda,2010,1,5676.0,1860000.0,1015
chiyoda,2011,1,5757.0,1930000.0,913
chiyoda,2012,1,6103.0,1908600.0,848
chiyoda,2013,1,7072.0,1908600.0,897
chiyoda,2016,1,6383.0,2358600.0,1134
chiyoda,2018,1,7493.0,2618600.0,934
chohu,2008,1,15452.0,352000.0,70
chohu,2009,1,14991.0,326200.0,100
chohu,2010,1,13981.0,308700.0,0
chohu,2011,1,14218.0,306300.0,94
chohu,2012,1,14433.0,304200.0,0
chohu,2013,1,13781.0,305900.0,0
chohu,2016,1,15055.0,318800.0,129
chohu,2018,1,14469.0,325900.0,83
chuo,2008,1,15187.0,922800.0,196
chuo,2009,1,13889.0,871100.0,144
chuo,2010,1,12992.0,764400.0,234
chuo,2011,1,13845.0,809600.0,197
chuo,2012,1,13269.0,803300.0,375
chuo,2013,1,14186.0,857000.0,320
chuo,2016,1,15946.0,1108700.0,523
chuo,2018,1,15374.0,1195700.0,565
