municipality,year,treat,newcomers,rents,popu,rents_per_capita
adachi,2010,0,27831.0,263500.0,459.0,574.074074074074
adachi,2011,0,27978.0,262100.0,447.0,586.3534675615213
adachi,2012,0,27850.0,262800.0,423.0,621.2765957446809
adachi,2013,0,27124.0,254800.0,436.0,584.4036697247707
adachi,2014,0,28002.0,482600.4504504505,500.0,965.2009009009009
adachi,2015,0,29980.0,482600.4504504505,475.0,1016.0009483167379
adachi,2016,0,28195.0,264300.0,364.0,726.0989010989011
adachi,2017,0,30623.0,273950.0,368.0,744.429347826087
adachi,2018,0,31040.0,283600.0,350.0,810.2857142857143
adachi,2019,0,26574.4,482600.4504504505,496.0,972.9847791339728
adachi,2020,0,26574.4,482600.4504504505,688.0,701.454143096585
adachi,2021,0,26574.4,482600.4504504505,667.0,723.5389062225644
arakawa,2010,0,12106.0,408000.0,674.0,605.3412462908012
arakawa,2011,0,11738.0,491700.0,481.0,1022.2453222453222
arakawa,2012,0,11788.0,486000.0,338.0,1437.8698224852071
arakawa,2013,0,11460.0,369400.0,331.0,1116.012084592145
arakawa,2014,0,11367.0,482600.4504504505,312.0,1546.7963155463156
arakawa,2015,0,12513.0,482600.4504504505,286.0,1687.4141624141625
arakawa,2016,0,11571.0,385800.0,257.0,1501.1673151750972
arakawa,2017,0,12061.0,407700.0,226.0,1803.9823008849557
arakawa,2018,0,12403.0,429600.0,191.0,2249.214659685864
arakawa,2019,0,26574.4,482600.4504504505,170.0,2838.8261791202967
arakawa,2020,0,26574.4,482600.4504504505,170.0,2838.8261791202967
arakawa,2021,0,26574.4,482600.4504504505,166.0,2907.231629219581
bunkyo,2010,0,16761.0,695800.0,677.0,1027.7695716395865
bunkyo,2011,0,16736.0,672400.0,685.0,981.6058394160584
bunkyo,2012,0,16560.0,667700.0,623.0,1071.749598715891
bunkyo,2013,0,17586.0,712600.0,613.0,1162.479608482871
bunkyo,2014,0,17088.0,482600.4504504505,644.0,749.3795814447989
bunkyo,2015,0,17180.0,482600.4504504505,629.0,767.2503186811613
bunkyo,2016,0,17011.0,788800.0,706.0,1117.2804532577904
bunkyo,2017,0,16980.0,828150.0,776.0,1067.2036082474226
bunkyo,2018,0,17589.0,867500.0,711.0,1220.112517580872
bunkyo,2019,0,26574.4,482600.4504504505,790.0,610.8866461398108
bunkyo,2020,0,26574.4,482600.4504504505,561.0,860.2503573091809
bunkyo,2021,0,26574.4,482600.4504504505,532.0,907.1437038542302
chiyoda,2010,1,5676.0,1860000.0,1015.0,1832.512315270936
chiyoda,2011,1,5757.0,1930000.0,913.0,2113.9101861993427
chiyoda,2012,1,6103.0,1908600.0,848.0,2250.7075471698113
chiyoda,2013,1,7072.0,1908600.0,897.0,2127.759197324415
chiyoda,2014,1,7406.0,482600.4504504505,942.0,512.3147032382701
chiyoda,2015,1,6722.0,482600.4504504505,994.0,485.51353164029223
chiyoda,2016,1,6383.0,2358600.0,1134.0,2079.89417989418
chiyoda,2017,1,6764.0,2488600.0,986.0,2523.9350912778905
chiyoda,2018,1,7493.0,2618600.0,934.0,2803.6402569593147
chiyoda,2019,1,26574.4,482600.4504504505,1016.0,475.0004433567426
chiyoda,2020,1,26574.4,482600.4504504505,632.0,763.6083076747634
chiyoda,2021,1,26574.4,482600.4504504505,591.0,816.5828264813036
chohu,2010,1,13981.0,308700.0,,
chohu,2011,1,14218.0,306300.0,94.0,3258.5106382978724
chohu,2012,1,14433.0,304200.0,,
chohu,2013,1,13781.0,305900.0,,
chohu,2014,1,13233.0,482600.4504504505,44.0,10968.192055692056
chohu,2015,1,15055.0,482600.4504504505,37.0,13043.255417579743
chohu,2016,1,15055.0,318800.0,129.0,2471.3178294573645
chohu,2017,1,14390.0,322350.0,53.0,6082.075471698113
chohu,2018,1,14469.0,325900.0,83.0,3926.5060240963853
chohu,2019,1,26574.4,482600.4504504505,47.0,10268.094690435117
chohu,2020,1,26574.4,482600.4504504505,,
chohu,2021,1,26574.4,482600.4504504505,48.0,10054.176051051052
chuo,2010,1,12992.0,764400.0,234.0,3266.6666666666665
chuo,2011,1,13845.0,809600.0,197.0,4109.644670050761
chuo,2012,1,13269.0,803300.0,375.0,2142.133333333333
chuo,2013,1,14186.0,857000.0,320.0,2678.125
chuo,2014,1,15173.0,482600.4504504505,404.0,1194.555570421907
chuo,2015,1,14973.0,482600.4504504505,467.0,1033.4056754827634
chuo,2016,1,15946.0,1108700.0,523.0,2119.885277246654
chuo,2017,1,16853.0,1152200.0,501.0,2299.800399201597
chuo,2018,1,15374.0,1195700.0,565.0,2116.283185840708
chuo,2019,1,26574.4,482600.4504504505,459.0,1051.4171033778878
chuo,2020,1,26574.4,482600.4504504505,344.0,1402.90828619317
chuo,2021,1,26574.4,482600.4504504505,239.0,2019.2487466546045
edogawa,2010,1,32975.0,307600.0,,
edogawa,2011,1,30291.0,305100.0,37.0,8245.945945945947
edogawa,2012,1,29592.0,301300.0,14.0,21521.428571428572
edogawa,2013,1,31162.0,300200.0,48.0,6254.166666666667
edogawa,2014,1,31953.0,482600.4504504505,37.0,13043.255417579743
edogawa,2015,1,33333.0,482600.4504504505,36.0,13405.568068068069
edogawa,2016,1,32199.0,311900.0,,
edogawa,2017,1,32270.0,321950.0,29.0,11101.724137931034
edogawa,2018,1,31131.0,332000.0,,
edogawa,2019,1,26574.4,482600.4504504505,174.0,2773.565807186497
edogawa,2020,1,26574.4,482600.4504504505,138.0,3497.1047134090613
edogawa,2021,1,26574.4,482600.4504504505,141.0,3422.698230145039
funabashi,2010,0,30214.0,143700.0,,
funabashi,2011,0,27356.0,142200.0,,
funabashi,2012,0,27751.0,140200.0,57.0,2459.6491228070176
funabashi,2013,0,28945.0,136600.0,,
funabashi,2014,0,26970.0,482600.4504504505,100.0,4826.004504504504
funabashi,2015,0,28154.0,482600.4504504505,,
funabashi,2016,0,27714.0,141900.0,,
funabashi,2017,0,28575.0,143600.0,131.0,1096.1832061068703
funabashi,2018,0,28680.0,145300.0,,
funabashi,2019,0,26574.4,482600.4504504505,,
funabashi,2020,0,26574.4,482600.4504504505,157.0,3073.8882194296207
funabashi,2021,0,26574.4,482600.4504504505,103.0,4685.441266509228
ichikawa,2010,0,26917.0,208300.0,56.0,3719.6428571428573
ichikawa,2011,0,25058.0,208100.0,95.0,2190.5263157894738
ichikawa,2012,0,24792.0,202900.0,82.0,2474.390243902439
ichikawa,2013,0,26043.0,197500.0,109.0,1811.926605504587
ichikawa,2014,0,27047.0,482600.4504504505,52.0,9280.777893277893
ichikawa,2015,0,27463.0,482600.4504504505,,
ichikawa,2016,0,26871.0,204400.0,206.0,992.2330097087379
ichikawa,2017,0,26796.0,206150.0,,
ichikawa,2018,0,26481.0,207900.0,76.0,2735.5263157894738
ichikawa,2019,0,26574.4,482600.4504504505,48.0,10054.176051051052
ichikawa,2020,0,26574.4,482600.4504504505,133.0,3628.574815416921
ichikawa,2021,0,26574.4,482600.4504504505,136.0,3548.532723900371
itabashi,2010,0,29358.0,359700.0,190.0,1893.157894736842
itabashi,2011,0,30024.0,357200.0,70.0,5102.857142857143
itabashi,2012,0,31412.0,352700.0,,
itabashi,2013,0,30931.0,347700.0,100.0,3477.0
itabashi,2014,0,30955.0,482600.4504504505,,
itabashi,2015,0,33063.0,482600.4504504505,146.0,3305.4825373318527
itabashi,2016,0,32655.0,364500.0,52.0,7009.615384615385
itabashi,2017,0,32113.0,378150.0,,
itabashi,2018,0,33200.0,391800.0,53.0,7392.452830188679
