municipality,year,treat,newcomers,rents,popu
adachi,2008,0,28533.0,281500.0,484
adachi,2009,0,31389.0,275200.0,528
adachi,2010,0,27831.0,263500.0,459
adachi,2011,0,27978.0,262100.0,447
adachi,2012,0,27850.0,262800.0,423
adachi,2013,0,27124.0,254800.0,436
adachi,2014,0,28002.0,482600.4504504505,500
adachi,2015,0,29980.0,482600.4504504505,475
adachi,2016,0,28195.0,264300.0,364
adachi,2017,0,30623.0,273950.0,368
adachi,2018,0,31040.0,283600.0,350
adachi,2019,0,26574.4,482600.4504504505,496
adachi,2020,0,26574.4,482600.4504504505,688
adachi,2021,0,26574.4,482600.4504504505,667
arakawa,2008,0,12432.0,466000.0,213
arakawa,2009,0,12632.0,435000.0,186
arakawa,2010,0,12106.0,408000.0,674
arakawa,2011,0,11738.0,491700.0,481
arakawa,2012,0,11788.0,486000.0,338
arakawa,2013,0,11460.0,369400.0,331
arakawa,2014,0,11367.0,482600.4504504505,312
arakawa,2015,0,12513.0,482600.4504504505,286
arakawa,2016,0,11571.0,385800.0,257
arakawa,2017,0,12061.0,407700.0,226
arakawa,2018,0,12403.0,429600.0,191
arakawa,2019,0,26574.4,482600.4504504505,170
arakawa,2020,0,26574.4,482600.4504504505,170
arakawa,2021,0,26574.4,482600.4504504505,166
bunkyo,2008,0,15747.0,840900.0,909
bunkyo,2009,0,15740.0,760700.0,715
bunkyo,2010,0,16761.0,695800.0,677
bunkyo,2011,0,16736.0,672400.0,685
bunkyo,2012,0,16560.0,667700.0,623
bunkyo,2013,0,17586.0,712600.0,613
bunkyo,2014,0,17088.0,482600.4504504505,644
bunkyo,2015,0,17180.0,482600.4504504505,629
bunkyo,2016,0,17011.0,788800.0,706
bunkyo,2017,0,16980.0,828150.0,776
bunkyo,2018,0,17589.0,867500.0,711
bunkyo,2019,0,26574.4,482600.4504504505,790
bunkyo,2020,0,26574.4,482600.4504504505,561
bunkyo,2021,0,26574.4,482600.4504504505,532
chiyoda,2008,1,5434.0,2123000.0,972
chiyoda,2009,1,6046.0,2041000.0,933
chiyoda,2010,1,5676.0,1860000.0,1015
